Photo;Date and Time;Exp. Time;F/Stop;Exp. Program;Exp. Bias;Metering Mode;Light Source;Flash;Focal Length;Focal Length (35 mm);ISO Speed;Orientation;Dimensions;File Size;Path;Tags
IMG_0048;02/05/2018  12:20:17;1/279;-;-;-;-;-;Not fired, auto mode;-;-;50;-;2048 x 1536;915 KB;D:\Hampstead Heath Survey photos\111_HH_17_5_18_T\100RECNX\IMG_0048.JPG;placeID: 111
IMG_0049;02/05/2018  12:20:18;1/279;-;-;-;-;-;Not fired, auto mode;-;-;50;-;2048 x 1536;918 KB;D:\Hampstead Heath Survey photos\111_HH_17_5_18_T\100RECNX\IMG_0049.JPG;placeID: 111
IMG_0050;02/05/2018  12:20:19;1/279;-;-;-;-;-;Not fired, auto mode;-;-;50;-;2048 x 1536;919 KB;D:\Hampstead Heath Survey photos\111_HH_17_5_18_T\100RECNX\IMG_0050.JPG;placeID: 111
IMG_0051;02/05/2018  12:21:45;1/30;-;-;-;-;-;Not fired, auto mode;-;-;200;-;2048 x 1536;195 KB;D:\Hampstead Heath Survey photos\111_HH_17_5_18_T\100RECNX\IMG_0051.JPG;placeID: 111
IMG_0052;02/05/2018  12:21:47;1/36;-;-;-;-;-;Not fired, auto mode;-;-;200;-;2048 x 1536;225 KB;D:\Hampstead Heath Survey photos\111_HH_17_5_18_T\100RECNX\IMG_0052.JPG;placeID: 111
IMG_0053;02/05/2018  12:21:48;1/30;-;-;-;-;-;Not fired, auto mode;-;-;250;-;2048 x 1536;246 KB;D:\Hampstead Heath Survey photos\111_HH_17_5_18_T\100RECNX\IMG_0053.JPG;placeID: 111
IMG_0054;02/05/2018  12:21:50;1/154;-;-;-;-;-;Not fired, auto mode;-;-;50;-;2048 x 1536;388 KB;D:\Hampstead Heath Survey photos\111_HH_17_5_18_T\100RECNX\IMG_0054.JPG;placeID: 111
IMG_0055;02/05/2018  12:21:51;1/30;-;-;-;-;-;Not fired, auto mode;-;-;800;-;2048 x 1536;387 KB;D:\Hampstead Heath Survey photos\111_HH_17_5_18_T\100RECNX\IMG_0055.JPG;placeID: 111
IMG_0056;02/05/2018  12:21:53;1/30;-;-;-;-;-;Not fired, auto mode;-;-;800;-;2048 x 1536;365 KB;D:\Hampstead Heath Survey photos\111_HH_17_5_18_T\100RECNX\IMG_0056.JPG;placeID: 111
IMG_0057;02/05/2018  12:21:54;1/30;-;-;-;-;-;Not fired, auto mode;-;-;800;-;2048 x 1536;365 KB;D:\Hampstead Heath Survey photos\111_HH_17_5_18_T\100RECNX\IMG_0057.JPG;placeID: 111
